image_path,datetime,species_label,probability,station_id
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1720.JPEG,2025-11-01 14:34:45,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1719.JPEG,2025-11-01 14:34:45,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1721.JPEG,2025-11-01 14:34:48,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1722.JPEG,2025-11-01 14:34:48,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1723.JPEG,2025-11-01 14:34:51,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251101_1724.JPEG,2025-11-01 14:34:51,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1731.JPEG,2025-11-02 02:07:17,wild boar,0.98,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1732.JPEG,2025-11-02 02:07:17,wild boar,0.98,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1733.JPEG,2025-11-02 02:07:18,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1735.JPEG,2025-11-02 02:07:37,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1734.JPEG,2025-11-02 02:07:37,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1736.JPEG,2025-11-02 02:07:38,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1737.JPEG,2025-11-02 02:07:40,wild boar,0.99,r0039-dona_0033
